Finished Step 4300 | Learning Rate: 0.000709 | Train Loss: 1.4060 | Validation Loss: 1.5710
Finished Step 4350 | Learning Rate: 0.000702 | Train Loss: 1.4048 | Validation Loss: 1.5664
Finished Step 4400 | Learning Rate: 0.000696 | Train Loss: 1.4041 | Validation Loss: 1.5744
Finished Step 4450 | Learning Rate: 0.000690 | Train Loss: 1.4006 | Validation Loss: 1.5410
Finished Step 4500 | Learning Rate: 0.000684 | Train Loss: 1.3969 | Validation Loss: 1.5434
Finished Step 4550 | Learning Rate: 0.000677 | Train Loss: 1.3998 | Validation Loss: 1.5611
Finished Step 4600 | Learning Rate: 0.000671 | Train Loss: 1.3983 | Validation Loss: 1.5320
Finished Step 4650 | Learning Rate: 0.000664 | Train Loss: 1.3964 | Validation Loss: 1.5417
Finished Step 4700 | Learning Rate: 0.000658 | Train Loss: 1.3967 | Validation Loss: 1.5462
Finished Step 4750 | Learning Rate: 0.000652 | Train Loss: 1.3918 | Validation Loss: 1.5446
Finished Step 4800 | Learning Rate: 0.000645 | Train Loss: 1.3908 | Validation Loss: 1.5592
Finished Step 4850 | Learning Rate: 0.000639 | Train Loss: 1.3869 | Validation Loss: 1.5566
Finished Step 4900 | Learning Rate: 0.000632 | Train Loss: 1.3890 | Validation Loss: 1.5851
Finished Step 4950 | Learning Rate: 0.000626 | Train Loss: 1.3866 | Validation Loss: 1.5343
Finished Step 5000 | Learning Rate: 0.000619 | Train Loss: 1.3842 | Validation Loss: 1.5045
Finished Step 5050 | Learning Rate: 0.000613 | Train Loss: 1.3812 | Validation Loss: 1.5845
Finished Step 5100 | Learning Rate: 0.000606 | Train Loss: 1.3822 | Validation Loss: 1.5492
Finished Step 5150 | Learning Rate: 0.000600 | Train Loss: 1.3812 | Validation Loss: 1.5525
Finished Step 5200 | Learning Rate: 0.000594 | Train Loss: 1.3789 | Validation Loss: 1.5581
Finished Step 5250 | Learning Rate: 0.000587 | Train Loss: 1.3811 | Validation Loss: 1.5587
Finished Step 5300 | Learning Rate: 0.000581 | Train Loss: 1.3782 | Validation Loss: 1.5373
Finished Step 5350 | Learning Rate: 0.000574 | Train Loss: 1.3772 | Validation Loss: 1.5649
Finished Step 5400 | Learning Rate: 0.000568 | Train Loss: 1.3760 | Validation Loss: 1.5491
Finished Step 5450 | Learning Rate: 0.000561 | Train Loss: 1.3762 | Validation Loss: 1.5422
Finished Step 5500 | Learning Rate: 0.000555 | Train Loss: 1.3757 | Validation Loss: 1.5634
Finished Step 5550 | Learning Rate: 0.000548 | Train Loss: 1.3717 | Validation Loss: 1.5260
Finished Step 5600 | Learning Rate: 0.000542 | Train Loss: 1.3735 | Validation Loss: 1.5471
Finished Step 5650 | Learning Rate: 0.000536 | Train Loss: 1.3686 | Validation Loss: 1.5440
Finished Step 5700 | Learning Rate: 0.000529 | Train Loss: 1.3658 | Validation Loss: 1.5378
Finished Step 5750 | Learning Rate: 0.000523 | Train Loss: 1.3702 | Validation Loss: 1.5484
Finished Step 5800 | Learning Rate: 0.000516 | Train Loss: 1.3693 | Validation Loss: 1.5280
Finished Step 5850 | Learning Rate: 0.000510 | Train Loss: 1.3668 | Validation Loss: 1.5322
Finished Step 5900 | Learning Rate: 0.000504 | Train Loss: 1.3667 | Validation Loss: 1.5452
Finished Step 5950 | Learning Rate: 0.000498 | Train Loss: 1.3639 | Validation Loss: 1.5217
Finished Step 6000 | Learning Rate: 0.000491 | Train Loss: 1.3641 | Validation Loss: 1.5532
Finished Step 6050 | Learning Rate: 0.000485 | Train Loss: 1.3621 | Validation Loss: 1.5598
Finished Step 6100 | Learning Rate: 0.000479 | Train Loss: 1.3619 | Validation Loss: 1.4954
Finished Step 6150 | Learning Rate: 0.000473 | Train Loss: 1.3606 | Validation Loss: 1.5426
Finished Step 6200 | Learning Rate: 0.000467 | Train Loss: 1.3604 | Validation Loss: 1.5335
Finished Step 6250 | Learning Rate: 0.000460 | Train Loss: 1.3609 | Validation Loss: 1.5250
Finished Step 6300 | Learning Rate: 0.000454 | Train Loss: 1.3590 | Validation Loss: 1.5684
Finished Step 6350 | Learning Rate: 0.000448 | Train Loss: 1.3582 | Validation Loss: 1.5550
Finished Step 6400 | Learning Rate: 0.000442 | Train Loss: 1.3554 | Validation Loss: 1.5597
Finished Step 6450 | Learning Rate: 0.000437 | Train Loss: 1.3575 | Validation Loss: 1.5535
Finished Step 6500 | Learning Rate: 0.000431 | Train Loss: 1.3551 | Validation Loss: 1.5203
Finished Step 6550 | Learning Rate: 0.000425 | Train Loss: 1.3539 | Validation Loss: 1.5650
Finished Step 6600 | Learning Rate: 0.000419 | Train Loss: 1.3548 | Validation Loss: 1.5248
Finished Step 6650 | Learning Rate: 0.000413 | Train Loss: 1.3535 | Validation Loss: 1.5632
